date,equity,realized_equity,floating_pnl,daily_realized_pnl,daily_return,open_positions_count
2026-01-01,68.0,68.09972186546047,-0.09957583769150473,0.0,0.0,1
2026-01-02,73.79449615062238,68.09972186546047,5.686435139280908,0.0,0.08177644574440404,1
2026-01-03,78.88234642921768,68.09972186546047,10.766835021500608,0.0,0.06667330575215216,1
2026-01-04,82.08421841864202,68.09972186546047,13.964018347902496,0.0,0.039788317418474176,2
2026-01-05,99.38827385474609,68.09972186546047,31.242734580837297,0.0,0.191288363344322,2
2026-01-06,115.78792077800499,106.97799117701997,8.797028775690583,38.82133789634342,0.15272611119188897,1
2026-01-07,119.96654695303002,106.97799117701997,12.969535977160062,0.0,0.03545267989819875,2
2026-01-08,111.09137835527012,106.97799117701997,4.107363737455689,0.0,-0.0768598374540223,3
2026-01-09,105.72910421523515,106.97799117701997,-1.2470581534700966,0.0,-0.049472888743239817,3
2026-01-10,115.57859869193373,106.97799117701997,8.588013210532099,0.0,0.08907060434815155,3
2026-01-11,122.00753975912271,106.97799117701997,15.007540054305855,0.0,0.05413203745148281,3
2026-01-12,147.21370190179437,135.48270086849257,11.713822735436338,28.462968804036088,0.18780244140682248,3
2026-01-13,111.09527854496886,135.48270086849257,-24.351710588126615,0.0,-0.2814970871372096,3
2026-01-14,121.21203981297862,135.48270086849257,-14.249763805087271,0.0,0.08715320869486366,3
2026-01-15,149.3780744216255,135.48270086849257,13.875025855168401,0.0,0.20893909728367055,4
2026-01-16,145.75121600741957,135.48270086849257,10.253478433091631,0.0,-0.024579336076188407,4
2026-01-17,142.56692326765676,141.4738804696099,1.0914422002196962,5.982406413947618,-0.02208964187008458,5
2026-01-18,199.4544546949181,156.8287352827516,42.56330041631841,15.332369922985102,0.3357743865677558,10
2026-01-19,253.06844472782802,156.8287352827516,96.09878077320614,0.0,0.23807407166370698,10
2026-01-20,401.99408055029943,144.03880340416762,257.5775401930617,-12.771202934748302,0.46277737885009623,10
2026-01-21,341.3289547436322,144.03880340416762,197.00124939699532,0.0,-0.16359067456180187,10
2026-01-22,376.9848620370489,144.03880340416762,232.6049439428033,0.0,0.09935834394439637,10
2026-01-23,377.74000984547894,144.03880340416762,233.35898595012154,0.0,0.0020011214379214172,10
