feature,win_mean,loss_mean,z_shift,abs_shift
rsi_7,39.30040142421782,42.984279431339715,-0.21355958882515502,0.21355958882515502
volume_spike,1.2412251274105175,1.0356285116539468,0.1945532977769978,0.1945532977769978
lower_shadow,0.017629537416013214,0.013278163181881865,0.17125206780104502,0.17125206780104502
volume_ratio,1.2007345239631244,1.0119820345262567,0.1681510402376734,0.1681510402376734
roc_7,-0.041349976635483225,-0.03027231652352071,-0.14993567297890634,0.14993567297890634
volume_trend,1.0105475642321133,0.9723716514565146,0.1376378576157823,0.1376378576157823
adx,43.32754492060512,41.32491857222034,0.12421113953061222,0.12421113953061222
trend_50_200,0.935547205156561,0.9138000456960766,0.11507639776585359,0.11507639776585359
high_low_range,0.07021896248760164,0.057374034035125296,0.11380289148819639,0.11380289148819639
price_to_sma_7,0.9782856998658598,0.9854114013935877,-0.11316723004574353,0.11316723004574353
price_to_sma_21,0.9698315016945461,0.9775020717008895,-0.11266100850447205,0.11266100850447205
bars_since_cross_down,6.293302540415705,7.243951612903226,-0.105683513306915,0.105683513306915
price_to_sma_14,0.9722772421053295,0.9777259271714545,-0.10183496673870582,0.10183496673870582
volatility_7,0.036918350101614816,0.03418858973718605,0.09100430621712426,0.09100430621712426
volatility_7_scaled,0.09043111989438378,0.08374459988145945,0.09100430621712412,0.09100430621712412
upper_shadow,0.01121723260247584,0.009638007904000113,0.0902272812741509,0.0902272812741509
stoch_d,41.99953316666856,43.1734098407644,-0.08994536867133499,0.08994536867133499
bb_width,0.27480516184265724,0.25770556865934185,0.07787537572147055,0.07787537572147055
funding_rate,-0.0002936315205904725,-0.000207853142781138,-0.0730334794736546,0.0730334794736546
rsi_14,42.906046123867156,43.72547775308881,-0.07171506026725806,0.07171506026725806
stoch_k,37.79466473449671,39.19705885418552,-0.07110163568921123,0.07110163568921123
body_size,0.04137219246911258,0.034457862949243315,0.07067650864080752,0.07067650864080752
is_volatile,0.7009237875288684,0.6703629032258065,0.0660543684349231,0.0660543684349231
rsi_slope,-0.6278499323266903,-0.2651304106214589,-0.06562248509039677,0.06562248509039677
bb_position,0.3083335463611025,0.32138585422690447,-0.0527041560562527,0.0527041560562527
sma_50,254.6259349526498,126.79356358076662,0.046737501750749956,0.046737501750749956
bb_lower,210.60781470267426,102.89441814986357,0.046309819358879976,0.046309819358879976
sma_14,227.654473982336,114.1204672371561,0.04531999405214666,0.04531999405214666
sma_7,220.81866637491188,110.84896108060182,0.04484894624257555,0.04484894624257555
sma_21,232.32475093583665,118.44407702037364,0.0445429698729903,0.0445429698729903
bb_middle,231.42225818941827,117.92633855732161,0.04453928479727544,0.04453928479727544
log_returns,-0.019369785362761453,-0.016377629117238942,-0.044402174232597034,0.044402174232597034
ema_14,221.4397682331223,112.79873551171275,0.043854989964921404,0.043854989964921404
ema_7,218.53435673937386,111.21001863055183,0.04382420763505202,0.04382420763505202
ema_21,224.62874775537117,114.74573804943981,0.04377963669093425,0.04377963669093425
ema_50,235.21107820797326,122.61733916006459,0.04282291887958546,0.04282291887958546
bb_upper,252.23670167616228,132.95825896477965,0.04276604480364124,0.04276604480364124
sma_100,275.24998122535186,151.290967865635,0.041601273729905935,0.041601273729905935
volume_sma_7,2666359581.544256,1490428774.8756285,0.04107337759055058,0.04107337759055058
roc_14,-0.011394376669841407,-0.005333349649622224,-0.04010235387910201,0.04010235387910201
ema_100,243.3649041509115,133.68997699173855,0.040023492649623744,0.040023492649623744
bars_since_cross_up,20.510392609699768,16.298387096774192,0.03983621381242625,0.03983621381242625
obv_trend,0.8970733366183917,1.0149465084815894,-0.039202323054928594,0.039202323054928594
returns,-0.016969101178987304,-0.014709244147010041,-0.03882053998770858,0.03882053998770858
sma_200,280.74514155463146,166.48885971892128,0.03787898642370071,0.03787898642370071
ema_200,248.68046693255226,143.44452609028872,0.037535377890206084,0.037535377890206084
volatility_21,0.03735576470582364,0.0362525643045374,0.03671637122031009,0.03671637122031009
price_to_sma_50,0.9588485954708206,0.9646248419660536,-0.03575318375140007,0.03575318375140007
price_to_sma_200,0.9044134256471577,0.8928605446748307,0.03497407388218779,0.03497407388218779
volume_sma_14,2376431534.2378387,1553453437.8443227,0.03439188590711428,0.03439188590711428
volatility_14_scaled,0.09785200325174986,0.09526459423535424,0.03181040371423332,0.03181040371423332
volatility_14,0.03994791304599125,0.03889160773831696,0.03181040371423308,0.03181040371423308
volume_sma_20,2141954327.33812,1533538778.9610374,0.028387481386456737,0.028387481386456737
atr_7,10.366329762909183,7.092060056792289,0.024005027906266338,0.024005027906266338
obv_sma,-73599177779.16882,-102003237879.15753,0.023464391881346212,0.023464391881346212
price_to_sma_100,0.9289357240110029,0.9343371758325018,-0.0222386708929438,0.0222386708929438
roc_21,-0.011788383360921374,-0.006410502278495794,-0.022031722305058777,0.022031722305058777
obv,-74560748059.0198,-100414649881.35594,0.02145070489644149,0.02145070489644149
macd,-6.288510089241577,-3.842685677436854,-0.019338080053589186,0.019338080053589186
bb_std,10.407221743371997,7.515960203729025,0.018189345204815636,0.018189345204815636
signal,-6.451414286768611,-4.029940737703565,-0.01796294920227655,0.01796294920227655
histogram_slope,0.25768853086179233,0.4836969669886427,-0.015441972307272712,0.015441972307272712
atr_14,8.795315649936338,7.033013588178607,0.0145405072630047,0.0145405072630047
macd_slope,0.2984145802435506,0.5305107320553197,-0.01357584571234777,0.01357584571234777
macd_acceleration,0.05009464483015548,0.09587036402476629,-0.004359143727262903,0.004359143727262903
trend_21_50,0.9853495854599849,0.9857646001738161,-0.0039108128770913315,0.0039108128770913315
trend_7_21,0.9933571978608263,0.9936106951918949,-0.0035055761708748683,0.0035055761708748683
is_trending,0.7742494226327945,0.7731854838709677,0.0025428359602346047,0.0025428359602346047
histogram,0.1629041975270339,0.1872550602667105,-0.0023022654001053494,0.0023022654001053494
signal_slope,0.040726049381758056,0.046813765066677095,-0.0023022654001053156,0.0023022654001053156
timeframe_hours,4.0,4.0,0.0,0.0
