feature,win_mean,loss_mean,z_shift,abs_shift
volume_spike,1.0840530791422116,0.9344109243964129,0.2248471709637302,0.2248471709637302
trend_50_200,0.8746726003301153,0.8131646994981111,0.21122256125288605,0.21122256125288605
high_low_range,0.11351298539239525,0.08828262804100745,0.21059590144366158,0.21059590144366158
stoch_d,37.04289124936239,33.701433824975524,0.2042164990905795,0.2042164990905795
volume_ratio,1.1112816400225698,0.9478247581539626,0.19778775414540073,0.19778775414540073
trend_21_50,0.9635752467115895,0.9385666704046228,0.1927692621215245,0.1927692621215245
price_to_sma_200,0.8259099449241175,0.7442635345585393,0.1782010122262736,0.1782010122262736
roc_21,-0.03576476396223024,-0.08132829565928583,0.16766153524526972,0.16766153524526972
body_size,0.05917131383632005,0.0451916501934959,0.16563133384688622,0.16563133384688622
price_to_sma_100,0.8711421385229761,0.8149682482534747,0.16501257540199762,0.16501257540199762
lower_shadow,0.02983311187466174,0.02457776045368465,0.16210672503599052,0.16210672503599052
price_to_sma_50,0.9185338218487038,0.8850847786256602,0.15697539159468077,0.15697539159468077
stoch_k,34.86229248725057,31.438164437141836,0.15064223483081737,0.15064223483081737
trend_7_21,0.975841336470329,0.9633227637372774,0.14670903325184312,0.14670903325184312
volume_trend,1.0041348884743668,0.9774966599479258,0.1170809535045525,0.1170809535045525
upper_shadow,0.02450855968141346,0.018513217393826897,0.11532706711115366,0.11532706711115366
bb_position,0.30866902937256285,0.2807383293906263,0.10530034264119562,0.10530034264119562
log_returns,-0.020981538374399783,-0.012619875862759757,-0.09724517363753936,0.09724517363753936
price_to_sma_21,0.9435510366848794,0.9340766065514449,0.09263569851308373,0.09263569851308373
returns,-0.017118643025690446,-0.008125793697737284,-0.08621968479861856,0.08621968479861856
bars_since_cross_up,17.548780487804876,11.215822345593338,0.08378814044310628,0.08378814044310628
volatility_7_scaled,0.05754546262894274,0.055030678573416245,0.06637231020832263,0.06637231020832263
volatility_7,0.05754546262894274,0.055030678573416245,0.06637231020832263,0.06637231020832263
roc_14,-0.06421324490504661,-0.07449479519970835,0.06410419748149779,0.06410419748149779
sma_200,458.15369491117445,209.32528090276298,0.056151738850591916,0.056151738850591916
is_trending,0.7817715019255456,0.7591950034698126,0.05402756351851283,0.05402756351851283
is_volatile,0.4435173299101412,0.46911866759195003,-0.05143849065359739,0.05143849065359739
price_to_sma_14,0.9560091332617601,0.9516757702556998,0.049046450890157946,0.049046450890157946
volatility_21,0.05617545693082532,0.054529625716220886,0.04826745320863101,0.04826745320863101
rsi_7,41.3377828780413,40.528161548105,0.04678001490672249,0.04678001490672249
sma_100,460.9214978367684,255.81933784635694,0.04434583742585814,0.04434583742585814
rsi_14,42.60978519005198,42.11515632481849,0.0437561075902893,0.0437561075902893
sma_50,451.3324298291486,250.10030582849816,0.0435545172809631,0.0435545172809631
volume_sma_7,4945494377.067786,3207339627.8093452,0.037884575238133135,0.037884575238133135
bb_lower,389.50428905451776,236.5380267998219,0.03668839762804457,0.03668839762804457
volume_sma_14,4928516465.977031,3356688182.6215434,0.03656920503339912,0.03656920503339912
sma_14,423.2690178235132,262.7109808597543,0.036010190376836976,0.036010190376836976
sma_21,430.22473406839924,268.1034991061788,0.03595204335117003,0.03595204335117003
bb_middle,429.37186308472633,267.80051561721604,0.03588758970545742,0.03588758970545742
sma_7,419.0430481715997,261.07596549843925,0.035638983441378606,0.035638983441378606
ema_7,419.6299512118286,262.129209314554,0.035524286285036615,0.035524286285036615
ema_14,421.29935725943506,263.8362015866595,0.035414272079434365,0.035414272079434365
ema_21,423.3951817121262,265.8253394304957,0.03531018326219675,0.03531018326219675
bb_upper,469.2394371149349,299.0630044346101,0.03511380827660642,0.03511380827660642
ema_50,426.542429399934,269.8995350755279,0.035010404972258456,0.035010404972258456
ema_100,420.7240536182075,271.01199306774583,0.03413562549026181,0.03413562549026181
volume_sma_20,4786677909.628699,3365389222.6939373,0.03400496225926666,0.03400496225926666
adx,34.55162792342098,34.96577361427155,-0.03263127420304461,0.03263127420304461
ema_200,405.10984829237765,271.26177015626456,0.03214911601373031,0.03214911601373031
bb_width,0.36622247138953756,0.35962773900746925,0.029959334924748747,0.029959334924748747
volatility_14_scaled,0.056734492966711535,0.055912559724448876,0.024704855697205753,0.024704855697205753
volatility_14,0.056734492966711535,0.055912559724448876,0.024704855697205753,0.024704855697205753
price_to_sma_7,0.9689576627619305,0.9711426257240634,-0.024673666027442486,0.024673666027442486
atr_7,22.566635645878055,17.148825090436425,0.022755252306239905,0.022755252306239905
bb_std,19.93378701510427,15.631244408697059,0.021105399381350108,0.021105399381350108
rsi_slope,-0.8516580559463147,-0.9414938395467998,0.01741650926560768,0.01741650926560768
obv_trend,0.967171133154232,1.0263958261278527,-0.01722724201862287,0.01722724201862287
atr_14,21.966742025003484,18.938212253864908,0.012827819865638166,0.012827819865638166
macd_slope,0.5638681136272508,0.3679761624182155,0.011688437232077603,0.011688437232077603
histogram_slope,0.5298186769005436,0.35703396139888716,0.011680269632547613,0.011680269632547613
macd_acceleration,0.1988307956948359,0.037721648309081396,0.010915277924423126,0.010915277924423126
roc_7,-0.045372415319963486,-0.0466090562322283,0.010508157445433724,0.010508157445433724
signal_slope,0.03404943672670706,0.010942201019328293,0.010322278429184978,0.010322278429184978
histogram,0.13619774690682943,0.04376880407731523,0.010322278429184867,0.010322278429184867
obv,93177507780.28831,98384229776.21484,-0.006484841126231785,0.006484841126231785
funding_rate,4.790968429075739e-05,4.562201364792968e-05,0.004933910007996524,0.004933910007996524
bars_since_cross_down,4.7394094993581515,4.772380291464261,-0.004132326962846526,0.004132326962846526
signal,-4.056491183452269,-3.789423239254064,-0.0022368337414070873,0.0022368337414070873
macd,-3.9202934365454376,-3.745654435176748,-0.0014883301065567647,0.0014883301065567647
obv_sma,97874463118.47212,98395550424.10692,-0.0006596977678385586,0.0006596977678385586
timeframe_hours,24.0,24.0,0.0,0.0
