timestamp,direction,is_win
2024-04-12,SHORT,1.0
2024-06-07,SHORT,1.0
2024-08-14,LONG,0.0
2024-09-10,LONG,1.0
2024-11-07,LONG,1.0
2024-12-09,SHORT,1.0
2025-03-04,SHORT,1.0
2025-04-12,LONG,1.0
2025-12-08,SHORT,1.0
2025-01-07,SHORT,1.0
2021-03-30,LONG,1.0
2021-05-14,SHORT,1.0
2021-06-08,SHORT,1.0
2022-10-23,LONG,0.0
2022-11-20,LONG,0.0
2024-02-03,LONG,1.0
2024-09-10,LONG,1.0
2025-04-11,LONG,1.0
2025-01-19,SHORT,1.0
2025-08-15,SHORT,0.0
2021-03-30,LONG,1.0
2021-12-04,SHORT,1.0
2022-01-07,SHORT,1.0
2022-08-17,SHORT,1.0
2023-05-01,SHORT,0.0
2023-07-19,SHORT,1.0
2023-08-16,SHORT,1.0
2024-06-08,SHORT,1.0
2024-11-07,LONG,1.0
2025-01-19,SHORT,1.0
2025-02-01,SHORT,1.0
2025-01-08,SHORT,1.0
2025-01-20,SHORT,1.0
2025-04-12,LONG,1.0
2025-07-29,SHORT,1.0
2020-11-17,LONG,1.0
2021-03-30,LONG,1.0
2022-10-23,LONG,1.0
2024-02-08,LONG,1.0
2024-09-11,LONG,1.0
2024-11-08,LONG,1.0
2025-03-14,LONG,0.0
2025-06-28,LONG,1.0
2024-08-13,LONG,0.0
2025-03-03,SHORT,1.0
2025-04-13,LONG,1.0
2024-12-09,SHORT,1.0
2025-01-19,SHORT,1.0
2025-05-09,LONG,1.0
2025-06-28,LONG,1.0
2025-10-07,LONG,1.0
2024-08-14,LONG,1.0
2025-04-13,LONG,1.0
2021-10-04,LONG,1.0
2022-11-08,LONG,1.0
2022-12-07,LONG,1.0
2023-03-13,LONG,1.0
2023-06-07,LONG,1.0
2023-09-10,LONG,1.0
2020-01-28,LONG,0.0
2020-02-05,LONG,0.0
2021-07-22,LONG,1.0
2023-01-03,LONG,1.0
2024-05-12,LONG,1.0
2024-09-12,LONG,1.0
2025-04-11,LONG,1.0
2025-06-26,LONG,1.0
2025-08-17,SHORT,1.0
2026-01-04,,
2022-08-31,LONG,0.0
2023-06-07,SHORT,1.0
2024-03-14,SHORT,1.0
2024-04-12,SHORT,1.0
2024-06-08,SHORT,1.0
2024-09-09,LONG,1.0
2024-11-07,LONG,1.0
2025-01-19,SHORT,1.0
2025-04-12,LONG,1.0
2024-07-11,LONG,0.0
2024-08-13,LONG,1.0
2024-09-12,LONG,1.0
2024-11-07,LONG,1.0
2025-01-19,SHORT,1.0
2022-10-26,LONG,0.0
2023-04-19,SHORT,1.0
2023-06-07,SHORT,1.0
2023-06-21,LONG,1.0
2023-07-20,SHORT,1.0
2024-05-31,SHORT,1.0
2024-07-10,LONG,0.0
2024-08-12,LONG,0.0
2024-09-10,LONG,1.0
2024-12-09,SHORT,1.0
2025-01-20,SHORT,1.0
2025-04-12,LONG,0.0
2021-11-27,SHORT,1.0
2022-01-21,SHORT,1.0
2023-12-03,LONG,1.0
2024-11-07,LONG,1.0
2025-01-19,SHORT,1.0
2025-02-03,SHORT,1.0
2025-03-04,SHORT,1.0
2024-03-31,SHORT,1.0
2024-06-08,SHORT,1.0
2024-08-13,LONG,0.0
2024-11-07,LONG,1.0
2025-02-02,SHORT,1.0
2025-03-17,LONG,0.0
2025-05-08,LONG,1.0
2024-11-08,LONG,1.0
2025-07-25,SHORT,1.0
2025-08-14,SHORT,1.0
2022-02-14,SHORT,1.0
2022-02-18,SHORT,1.0
2022-04-08,SHORT,1.0
2022-10-25,LONG,1.0
2022-11-23,LONG,0.0
2023-04-20,SHORT,1.0
2024-02-23,SHORT,0.0
2024-11-07,LONG,1.0
2025-01-19,SHORT,1.0
2025-04-12,LONG,1.0
2025-11-05,SHORT,0.0
2024-03-08,SHORT,1.0
2024-04-12,SHORT,1.0
2024-09-09,LONG,1.0
2025-01-20,SHORT,1.0
2023-06-21,LONG,0.0
2024-04-15,SHORT,1.0
2024-12-09,SHORT,1.0
2025-01-10,SHORT,1.0
2025-01-19,SHORT,1.0
2025-04-12,LONG,1.0
2021-01-05,LONG,1.0
2021-03-10,SHORT,0.0
2022-11-08,SHORT,1.0
2023-10-08,SHORT,0.0
2025-07-25,SHORT,0.0
2025-08-16,SHORT,1.0
2025-07-25,SHORT,1.0
2025-08-25,SHORT,0.0
2023-04-22,SHORT,1.0
2024-03-11,SHORT,1.0
2024-07-09,LONG,1.0
2024-11-07,LONG,1.0
2025-01-20,SHORT,1.0
2025-04-14,LONG,1.0
2025-08-16,SHORT,1.0
2021-06-18,SHORT,1.0
2021-07-23,LONG,1.0
2021-12-02,SHORT,1.0
2023-02-23,SHORT,1.0
2023-04-19,SHORT,1.0
2023-06-05,SHORT,1.0
2023-06-21,LONG,1.0
2025-06-12,SHORT,0.0
2025-07-30,SHORT,1.0
2022-10-26,LONG,1.0
2023-07-18,SHORT,1.0
2023-08-16,SHORT,1.0
2024-08-12,LONG,0.0
2024-09-10,LONG,0.0
2024-11-08,LONG,1.0
2024-12-09,SHORT,0.0
2025-02-01,SHORT,1.0
2025-09-08,LONG,0.0
2024-09-10,LONG,0.0
2024-11-06,LONG,1.0
2020-10-28,SHORT,0.0
2021-03-31,LONG,1.0
2021-10-02,LONG,1.0
2023-06-20,LONG,0.0
2023-10-22,LONG,1.0
2024-06-02,SHORT,1.0
2024-06-07,SHORT,1.0
2025-01-20,SHORT,1.0
2025-12-14,,
2025-08-25,SHORT,0.0
2026-01-02,,
2021-09-30,LONG,1.0
2022-10-26,LONG,0.0
2023-06-20,LONG,1.0
2023-12-01,LONG,1.0
2024-01-02,SHORT,1.0
2024-03-13,SHORT,1.0
2024-06-07,SHORT,1.0
2024-08-13,LONG,0.0
2024-09-10,LONG,1.0
2024-11-07,LONG,1.0
2025-01-19,SHORT,1.0
2025-03-06,SHORT,1.0
2025-04-12,LONG,0.0
2025-09-08,LONG,0.0
2025-04-11,LONG,1.0
2024-06-09,SHORT,1.0
2024-07-08,LONG,1.0
2024-08-17,LONG,1.0
2024-11-07,LONG,1.0
2025-01-19,SHORT,1.0
2021-01-28,LONG,0.0
2021-02-15,SHORT,1.0
2021-07-14,SHORT,0.0
2022-01-13,LONG,1.0
2022-04-10,SHORT,0.0
2022-11-08,SHORT,0.0
2023-02-06,SHORT,1.0
2025-03-04,SHORT,1.0
2025-04-11,LONG,1.0
2025-07-27,SHORT,1.0
2025-04-19,LONG,1.0
2021-02-05,LONG,1.0
2021-04-01,LONG,1.0
2023-11-18,SHORT,0.0
2024-11-07,LONG,1.0
2024-12-09,SHORT,1.0
2025-01-20,SHORT,1.0
2025-03-07,SHORT,1.0
2025-04-12,LONG,0.0
2023-04-21,SHORT,1.0
2023-03-03,SHORT,1.0
2024-11-07,LONG,1.0
2024-12-14,SHORT,1.0
2025-01-08,SHORT,1.0
2025-01-19,SHORT,1.0
2024-09-10,LONG,1.0
2024-12-09,SHORT,1.0
2025-01-10,SHORT,1.0
2021-01-04,LONG,1.0
2021-01-25,LONG,1.0
2021-03-28,LONG,1.0
2022-01-06,SHORT,1.0
2025-04-12,LONG,1.0
2025-10-31,SHORT,1.0
2025-11-01,SHORT,1.0
2021-11-29,SHORT,1.0
2022-01-18,SHORT,1.0
2024-06-01,SHORT,1.0
2024-11-08,LONG,1.0
2025-01-19,SHORT,1.0
2025-07-25,SHORT,1.0
2022-12-15,SHORT,0.0
2024-12-17,SHORT,1.0
2021-03-30,LONG,1.0
2021-05-14,SHORT,1.0
2021-11-16,SHORT,1.0
2023-04-19,SHORT,1.0
2023-06-05,SHORT,1.0
2024-11-06,LONG,1.0
2024-12-09,SHORT,1.0
2025-04-12,LONG,1.0
2025-09-19,SHORT,1.0
2025-01-19,SHORT,1.0
2020-01-30,LONG,1.0
2021-02-20,SHORT,1.0
2021-03-30,LONG,1.0
