timestamp,direction,is_win
2025-09-26 00:00:00,SHORT,1.0
2025-10-08 00:00:00,SHORT,1.0
2024-12-11 12:00:00,SHORT,1.0
2025-05-24 12:00:00,SHORT,1.0
2025-08-14 12:00:00,SHORT,1.0
2024-02-26 12:00:00,LONG,1.0
2024-11-06 00:00:00,LONG,1.0
2025-03-04 12:00:00,SHORT,0.0
2025-03-28 00:00:00,SHORT,1.0
2025-05-15 00:00:00,SHORT,0.0
2025-05-09 00:00:00,LONG,1.0
2025-10-14 00:00:00,SHORT,1.0
2025-12-08 12:00:00,SHORT,1.0
2023-07-05 00:00:00,SHORT,1.0
2024-01-03 12:00:00,SHORT,0.0
2024-03-14 12:00:00,SHORT,1.0
2024-08-29 12:00:00,SHORT,1.0
2024-09-18 12:00:00,LONG,1.0
2025-03-03 12:00:00,SHORT,1.0
2023-08-15 12:00:00,SHORT,1.0
2024-12-08 12:00:00,SHORT,1.0
2024-11-06 00:00:00,LONG,1.0
2024-11-19 00:00:00,SHORT,0.0
2025-01-07 12:00:00,SHORT,0.0
2025-04-28 12:00:00,SHORT,0.0
2024-07-02 00:00:00,SHORT,1.0
2024-10-16 12:00:00,SHORT,1.0
2024-10-21 12:00:00,SHORT,1.0
2025-03-07 00:00:00,SHORT,1.0
2024-08-27 12:00:00,SHORT,1.0
2024-11-06 00:00:00,LONG,1.0
2025-09-26 00:00:00,LONG,1.0
2021-11-02 00:00:00,SHORT,1.0
2022-08-18 12:00:00,SHORT,1.0
2022-10-08 00:00:00,SHORT,0.0
2023-06-05 12:00:00,SHORT,1.0
2023-10-04 00:00:00,SHORT,0.0
2024-02-07 12:00:00,LONG,1.0
2024-04-01 00:00:00,SHORT,1.0
2024-04-12 12:00:00,SHORT,1.0
2024-04-27 00:00:00,SHORT,0.0
2024-06-07 12:00:00,SHORT,1.0
2024-09-18 12:00:00,LONG,1.0
2025-05-08 12:00:00,LONG,1.0
2025-07-23 00:00:00,SHORT,1.0
2022-01-05 12:00:00,SHORT,1.0
2024-06-07 12:00:00,SHORT,1.0
2025-11-13 12:00:00,SHORT,1.0
2021-03-12 12:00:00,SHORT,0.0
2021-06-19 00:00:00,SHORT,1.0
2022-01-05 12:00:00,SHORT,1.0
2022-09-13 12:00:00,SHORT,1.0
2023-04-19 00:00:00,SHORT,1.0
2023-08-15 12:00:00,SHORT,1.0
2024-11-06 00:00:00,LONG,1.0
2024-12-08 00:00:00,SHORT,0.0
2025-05-08 12:00:00,LONG,1.0
2024-10-01 00:00:00,SHORT,0.0
2025-02-24 00:00:00,SHORT,1.0
2025-05-08 00:00:00,LONG,1.0
2025-07-23 00:00:00,SHORT,1.0
2021-01-24 00:00:00,LONG,1.0
2021-02-03 12:00:00,LONG,1.0
2021-02-11 12:00:00,SHORT,1.0
2021-09-19 00:00:00,SHORT,1.0
2022-04-28 12:00:00,SHORT,1.0
2022-06-04 00:00:00,SHORT,1.0
2022-09-13 12:00:00,SHORT,1.0
2023-02-22 00:00:00,SHORT,1.0
2024-10-21 12:00:00,SHORT,0.0
2024-12-26 12:00:00,SHORT,1.0
2025-01-07 12:00:00,SHORT,0.0
2025-06-14 00:00:00,SHORT,1.0
2024-04-12 12:00:00,SHORT,1.0
2024-11-06 12:00:00,LONG,1.0
2025-01-07 12:00:00,SHORT,1.0
2025-03-28 00:00:00,SHORT,1.0
2025-05-15 12:00:00,SHORT,1.0
2024-04-12 12:00:00,SHORT,1.0
2025-01-07 12:00:00,SHORT,0.0
2025-02-24 00:00:00,SHORT,1.0
2025-05-08 12:00:00,LONG,0.0
