date,equity,realized_equity,floating_pnl,daily_realized_pnl,daily_return,open_positions_count
2026-01-01,101.35341108089636,101.35341108089636,0.0,1.3534110808963664,0.0,0
2026-01-02,102.33653294909236,102.35926948148196,-0.022736532389602583,1.0058584005855933,0.009653196255232067,2
2026-01-03,102.80219680261808,102.35926948148196,0.4429273211361219,0.0,0.004539997434203783,2
2026-01-04,115.2764486553579,115.40414961942123,-0.1277009640633343,13.044880137939279,0.11452642249750195,2
2026-01-05,122.66543837022563,122.4949556588876,0.17048271133801882,7.090806039466369,0.06212749119897219,2
2026-01-06,129.44008627578197,127.82995873907815,1.610127536703814,5.335003080190542,0.05375748367654758,2
2026-01-07,133.02603208215433,130.3135040420469,2.712528040107434,2.4835453029687637,0.02732671916912642,2
2026-01-08,132.12137221052677,130.3135040420469,1.8078681684798834,0.0,-0.006823852449112577,2
2026-01-09,130.01419826427272,130.3135040420469,-0.29930577777416983,0.0,-0.016077324651768414,2
2026-01-10,132.96851866471852,130.3135040420469,2.655014622671623,0.0,0.02246873652515783,2
2026-01-11,134.209320750054,130.3135040420469,3.895816708007086,0.0,0.009288277864595742,2
2026-01-12,136.0878304412854,136.0878304412854,0.0,5.774326399238515,0.013899813058422923,0
2026-01-13,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-14,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-15,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-16,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-17,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-18,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-19,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-20,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-21,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-22,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-23,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-24,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-25,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-26,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-27,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-28,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-29,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-30,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-01-31,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-01,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-02,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-03,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-04,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-05,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-06,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-07,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-08,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-09,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-10,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-11,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-12,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-13,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-14,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-15,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
2026-02-16,136.0878304412854,136.0878304412854,0.0,0.0,0.0,0
