timeframe,leverage,threshold,sizing,start_date,end_date,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_pct,final_equity,avg_confidence,liquidations,num_symbols,error
8h,5,0.65,fixed,2025-12-01,2026-01-15,33,72.72727272727273,174.4143364924968,7.359374180552174,11.016930502256317,5.8621863186453345,5.285282924015055,27441.43364924968,0.6863741874694824,0,517,
8h,5,0.65,percent,2025-12-01,2026-01-15,33,72.72727272727273,272.6093060669197,12.647330168847565,10.8995242829193,4.650191603949143,8.260888062633933,37260.930606691974,0.6863741874694824,0,517,
8h,5,0.7,fixed,2025-12-10,2026-01-02,8,75.0,43.187016595774246,4.1966870184840825,12.533930357898182,7.3155220406678385,5.398377074471781,14318.701659577426,0.740606427192688,0,517,
8h,5,0.7,percent,2025-12-10,2026-01-02,8,75.0,77.30513767826201,12.437404764305922,11.40974573384832,3.9850855672584222,9.663142209782752,17730.513767826204,0.740606427192688,0,517,
8h,5,0.75,fixed,2025-12-16,2026-01-02,4,75.0,15.957254916745029,2.905482351370057,9.432327992883769,5.747986631739766,3.9893137291862573,11595.725491674502,0.7740355730056763,0,517,
8h,5,0.75,percent,2025-12-16,2026-01-02,4,75.0,17.562836527247004,7.334910549558299,7.3752195139470365,2.972811313799351,4.390709131811751,11756.2836527247,0.7740355730056763,0,517,
8h,7,0.65,fixed,2025-12-01,2026-01-15,33,72.72727272727273,242.13614470707614,10.452230422889055,10.153882271471392,5.632930167092793,7.3374589305174585,34213.61447070762,0.6863741874694824,2,517,
8h,7,0.65,percent,2025-12-01,2026-01-15,33,72.72727272727273,473.4329041983511,17.453175602110065,10.54112786257669,4.264300203149627,14.346451642374275,57343.29041983511,0.6863741874694824,2,517,
8h,7,0.7,fixed,2025-12-10,2026-01-02,8,75.0,60.461823234083944,5.22079492768225,12.580275171255566,7.315522040667838,7.557727904260493,16046.182323408395,0.740606427192688,0,517,
8h,7,0.7,percent,2025-12-10,2026-01-02,8,75.0,114.46150840835836,17.613179507916303,11.27369060938188,3.46269608492637,14.307688551044794,21446.150840835835,0.740606427192688,0,517,
8h,7,0.75,fixed,2025-12-16,2026-01-02,4,75.0,22.340156883443036,3.858555555950647,9.463998787518658,5.747986631739766,5.585039220860759,12234.015688344303,0.7740355730056763,0,517,
8h,7,0.75,percent,2025-12-16,2026-01-02,4,75.0,23.80209486480932,10.302935712503631,7.29860527958677,2.776125967361802,5.95052371620233,12380.209486480931,0.7740355730056763,0,517,
12h,5,0.65,fixed,2025-12-01,2026-01-13,18,44.44444444444444,13.71962907870317,41.066155016343565,1.868421058858441,1.221841491773001,0.7622016154835094,11371.962907870316,0.6798332929611206,0,490,
12h,5,0.65,percent,2025-12-01,2026-01-12,24,45.83333333333333,-11.606898114436829,34.654139048697225,-0.7183598052399539,0.8016542290468124,-0.4836207547682012,8839.310188556317,0.6883602142333984,0,490,
12h,5,0.7,fixed,2025-12-01,2026-01-12,14,57.14285714285714,16.186142995600758,12.59718440995904,3.6516498393186754,1.544546408250136,1.1561530711143397,11618.614299560075,0.7494606375694275,0,490,
12h,5,0.7,percent,2025-12-01,2026-01-12,15,60.0,22.50354074650536,10.098071426577043,3.6978606876193023,1.8136017630674828,1.5002360497670242,12250.354074650537,0.7477942109107971,0,490,
12h,5,0.75,fixed,2025-12-12,2026-01-12,5,80.0,16.69233358878093,4.205502649277328,11.775634087468296,4.425007692894189,3.338466717756186,11669.233358878093,0.7842482924461365,0,490,
12h,5,0.75,percent,2025-12-12,2026-01-12,5,80.0,32.54064471681662,4.290183201436159,12.460075717520331,6.656268108622244,6.5081289433633245,13254.064471681662,0.7842482924461365,0,490,
12h,7,0.65,fixed,2025-12-01,2026-01-13,16,43.75,9.886841075225556,51.445038182488624,1.7726598391510855,1.1213927980863947,0.6179275672015972,10988.684107522555,0.679217517375946,6,490,
12h,7,0.65,percent,2025-12-01,2026-01-12,24,45.83333333333333,-25.438614109748826,51.68413499623939,-0.9898435041939491,0.6866870814142841,-1.0599422545728676,7456.138589025118,0.6883602142333984,7,490,
12h,7,0.7,fixed,2025-12-01,2026-01-12,14,57.14285714285714,22.756613098497184,16.20486816783215,3.8340445027726187,1.5481182913737455,1.6254723641783702,12275.661309849718,0.7494606375694275,1,490,
12h,7,0.7,percent,2025-12-01,2026-01-12,15,60.0,29.504594656108996,14.13729999530051,3.6880806143773794,1.770748351007124,1.966972977073933,12950.4594656109,0.7477942109107971,1,490,
12h,7,0.75,fixed,2025-12-12,2026-01-12,5,80.0,23.369267024293308,5.581616459004519,11.977519529975625,4.42500769289419,4.6738534048586615,12336.926702429331,0.7842482924461365,0,490,
12h,7,0.75,percent,2025-12-12,2026-01-12,5,80.0,45.742398102945025,5.444924580448722,12.719756389153657,6.679299251870593,9.148479620589004,14574.239810294503,0.7842482924461365,0,490,
1d,5,0.65,fixed,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,5,0.65,percent,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,5,0.7,fixed,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,5,0.7,percent,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,5,0.75,fixed,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,5,0.75,percent,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,7,0.65,fixed,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,7,0.65,percent,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,7,0.7,fixed,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,7,0.7,percent,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,7,0.75,fixed,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,7,0.75,percent,2025-12-01,2026-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
