2026-04-07 18:56:12 | symbol_done | idx=13 | total=61 | symbol=1000WHYUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.644 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=3 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-02-28 19:00:00 | nearest_setup_delta_min=7380.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=14 | total=61 | symbol=1000XECUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.596 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=7 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-02-11 21:00:00 | nearest_setup_delta_min=31740.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=15 | total=61 | symbol=1INCHUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.549 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=14 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 07:00:00 | nearest_setup_delta_min=2340.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=16 | total=61 | symbol=1MBABYDOGEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.480 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=15 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-03 22:00:00 | nearest_setup_delta_min=2880.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=17 | total=61 | symbol=2ZUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.431 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=18 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-02-27 16:00:00 | nearest_setup_delta_min=9000.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=18 | total=61 | symbol=42USDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.382 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=19 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-01-06 04:00:00 | nearest_setup_delta_min=84600.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=19 | total=61 | symbol=4USDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.341 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=31 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-05 05:00:00 | nearest_setup_delta_min=1020.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=20 | total=61 | symbol=A2ZUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.295 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=9 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-01 19:00:00 | nearest_setup_delta_min=5940.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=21 | total=61 | symbol=AAPLUSDT | status=skip | reason=insufficient_history | signals=0 | elapsed_s=3.244 | scan_open_ts= | last_closed_ts= | setup_total=0 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts= | nearest_setup_delta_min= | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=22 | total=61 | symbol=AAVEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.242 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=10 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-05 14:00:00 | nearest_setup_delta_min=480.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=23 | total=61 | symbol=ACEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.149 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=14 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 08:00:00 | nearest_setup_delta_min=2280.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=24 | total=61 | symbol=ACHUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=3.056 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=21 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 18:00:00 | nearest_setup_delta_min=1680.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=25 | total=61 | symbol=ACTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.973 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=21 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 13:00:00 | nearest_setup_delta_min=1980.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=26 | total=61 | symbol=ACUUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.886 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=30 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 02:00:00 | nearest_setup_delta_min=2640.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=27 | total=61 | symbol=ACXUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.810 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=14 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-05 04:00:00 | nearest_setup_delta_min=1080.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=28 | total=61 | symbol=ADAUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.720 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=9 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-01 19:00:00 | nearest_setup_delta_min=5940.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=29 | total=61 | symbol=AERGOUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.643 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=3 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-01 20:00:00 | nearest_setup_delta_min=5880.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=30 | total=61 | symbol=AEROUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.561 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=20 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 20:00:00 | nearest_setup_delta_min=1560.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
