symbol,signals,market_pnl_R,limit_pnl_R,limit_fills,missed_trades
KOMAUSDT,7,7.661912470649244,4.654862714529234,6,1
ASTRUSDT,13,6.217795563617095,11.838747227568886,12,1
WIFUSDT,11,11.221995645308057,9.599517684448017,8,3
XANUSDT,4,4.743915690214629,1.6771157381827555,3,1
UMAUSDT,8,8.44205333464688,8.44205333464688,8,0
BTRUSDT,4,2.1814084711023547,5.289231602217865,4,0
HUMAUSDT,7,-6.0,-6.0,7,0
SUNUSDT,0,0,0,0,0
CETUSUSDT,9,7.365787084032526,5.668933444059799,7,2
AVAXUSDT,11,-1.4407452665852434,-1.4407452665852434,11,0
STORJUSDT,6,1.530569090811846,2.530569090811846,6,0
ARIAUSDT,8,-5.009116317916748,-3.0091163179167477,8,0
XLMUSDT,6,1.4112249091316018,1.4112249091316018,6,0
1000000MOGUSDT,7,3.3997433787069933,-1.7939204552767398,5,2
HYPEUSDT,9,21.37327149383556,21.37327149383556,8,1
HIGHUSDT,9,4.268360666481538,6.023157973599171,8,1
LAUSDT,7,-2.889738507630078,-2.889738507630078,6,1
HOOKUSDT,12,7.07512058741294,11.142911866056641,12,0
IRYSUSDT,1,-1.0,-1.0,1,0
AVAUSDT,3,3.255764240834523,3.255764240834523,2,1
VFYUSDT,4,-0.6686451737887738,3.5909593966259576,4,0
MOODENGUSDT,9,-3.4031058124960287,-3.4031058124960287,7,2
SAFEUSDT,10,-5.0819205947545765,-4.0819205947545765,8,2
DYMUSDT,8,4.019659599417146,1.7442753467456207,7,1
ENSUSDT,8,-1.0748831408327035,-1.0748831408327035,7,1
MELANIAUSDT,5,0.8349205615018169,0.8349205615018169,5,0
AKEUSDT,8,-4.063034838764711,0.6195330861407888,7,1
TRADOORUSDT,6,-2.7245748718832115,-2.7245748718832115,6,0
SUSHIUSDT,12,7.671606280575946,7.671606280575946,12,0
GUSDT,7,-2.9596208488195543,-5.0,5,2
SHELLUSDT,6,2.6440373375131334,3.112628552683865,5,1
ORCAUSDT,6,-2.9391215937201243,-4.0,5,1
AXSUSDT,7,-6.0,-1.9701151571050461,7,0
WLDUSDT,9,-2.21753176594447,5.128651630206038,9,0
PENGUUSDT,12,-1.7403761033547585,-4.4278086319402155,10,2
CELOUSDT,7,-1.6468578106873806,-1.6468578106873806,6,1
TAUSDT,9,-2.4464720515982257,1.2152228819423772,8,1
XVGUSDT,6,0.9062748340104441,-1.0283878577771386,5,1
ZILUSDT,12,-9.0,4.443324964357653,12,0
ARKMUSDT,9,-3.971682965183489,-2.971682965183489,8,1
KITEUSDT,1,0,0,1,0
C98USDT,6,3.114030330745875,3.114030330745875,6,0
ZKUSDT,10,4.826435826268105,1.1861548716749777,7,3
WUSDT,11,-3.615574541570717,-2.615574541570717,10,1
TIAUSDT,11,1.8236958501219007,2.8236958501219007,10,1
IMXUSDT,8,-0.5761535359696999,0.57383733444754,7,1
1000LUNCUSDT,10,9.597642498717967,8.118570091369772,8,2
LAYERUSDT,12,6.834748858092924,6.003126555079842,9,3
42USDT,4,2.408618521833925,0.18796279916609038,3,1
WOOUSDT,11,-5.960185616966461,-4.960185616966461,10,1
IOTXUSDT,8,-2.1858064006941955,2.1844210554973844,7,1
ACXUSDT,4,5.178921601575482,1.9565945563795122,3,1
BARDUSDT,3,-2.0,-1.0,2,1
CRVUSDT,5,-1.5373370163870845,-1.5373370163870845,5,0
DUSKUSDT,7,9.406627805935772,7.406627805935771,6,1
DODOXUSDT,7,2.149107656304684,0.19320543020180514,6,1
EPICUSDT,7,-3.327021497223647,-1.1397454013622212,5,2
CAKEUSDT,2,6.2390666843929194,2.812723130274131,1,1
ONUSDT,0,0,0,0,0
UNIUSDT,8,2.5949834809732066,-0.6115236421888053,6,2
TRUTHUSDT,3,-2.0,-2.0,2,1
ZKJUSDT,9,-0.6510682726237684,2.071569096668205,8,1
NTRNUSDT,7,5.374169582133797,3.285367082783446,6,1
ENAUSDT,12,12.069442478465312,3.058629156037888,8,4
2ZUSDT,5,7.6369286205119025,-0.001824091315036025,4,1
SPXUSDT,9,13.391452603818834,10.708929484538674,8,1
BTCUSDT,3,-2.0,-2.0,3,0
EVAAUSDT,3,-2.0,-2.0,3,0
PENDLEUSDT,10,5.675468568889908,2.399882396250657,9,1
BROCCOLI714USDT,8,-1.4987387733035016,3.161647000477863,7,1
COWUSDT,7,-1.9833957872487518,-1.9833957872487518,6,1
HOLOUSDT,7,-1.1804274381478228,0.9771654754217618,6,1
ERAUSDT,13,-4.140966694489505,-10.0,10,3
BANKUSDT,5,10.44291773661589,3.615199037628907,3,2
SKYUSDT,4,3.747307039467018,3.747307039467018,4,0
XPINUSDT,11,-4.635570487434311,-5.0,9,2
USUALUSDT,6,-2.7705085407716337,1.8125955961412838,5,1
ACEUSDT,8,-4.044604929363887,-5.0,6,2
AIOUSDT,4,5.038966178301052,6.038966178301052,3,1
GMXUSDT,6,-5.0,-0.8550248086867227,6,0
VINEUSDT,6,0.8018758851964831,0.8018758851964831,6,0
1000CHEEMSUSDT,5,1.6962617852448227,-3.0,3,2
EGLDUSDT,9,4.439868634653001,7.804526796154432,7,2
QUSDT,6,4.054335659667668,2.43047125026987,5,1
FFUSDT,5,-0.31335493736324205,-0.31335493736324205,5,0
ROSEUSDT,8,1.1072238023042416,-2.0435285399436087,7,1
CHZUSDT,3,1.5445055309246674,1.5445055309246674,3,0
LQTYUSDT,8,-4.081365970444027,0.5866237429101386,8,0
PIXELUSDT,10,3.5483585480872204,10.249628492525805,10,0
TLMUSDT,8,6.246224898006309,3.177651681752978,7,1
FUNUSDT,10,-0.9171522395059148,-8.0,8,2
ENJUSDT,10,6.940591925723041,6.940591925723041,9,1
PHAUSDT,9,-3.6910991095037677,-0.4861310486709032,9,0
PLUMEUSDT,6,-5.0,-5.0,5,1
PUMPBTCUSDT,10,-1.6130471224105354,-0.7613064989275997,10,0
CROSSUSDT,6,-1.8527695022749144,-0.8527695022749144,6,0
BULLAUSDT,6,2.3182048738878227,4.895075633160523,5,1
PORTALUSDT,13,-0.016629096413916855,1.9833709035860831,12,1
DIAUSDT,9,-0.2050442823129779,-2.205044282312978,8,1
OLUSDT,4,0.15518379506746305,-2.0,3,1
OPUSDT,9,3.929874224327736,2.635700070033551,7,2
FLOWUSDT,6,4.06402442626861,4.06402442626861,6,0
AUCTIONUSDT,7,10.401333730335264,2.506387924358571,4,3
ETHFIUSDT,14,3.7911080591789372,14.22507310750883,13,1
SNXUSDT,5,1.8782226487498983,1.8782226487498983,4,1
1000RATSUSDT,2,2.1865837789782017,2.1865837789782017,2,0
ADAUSDT,8,-6.0,-5.0,7,1
BERAUSDT,11,2.3893603120079,6.732970500868364,9,2
BIOUSDT,11,0.029350591290087102,5.788659072991978,11,0
MUBARAKUSDT,8,1.4983459267086117,-1.2320718892710083,7,1
RESOLVUSDT,9,-1.753096470371593,2.857567026452226,8,1
RECALLUSDT,3,1.9480907150162303,1.9480907150162303,3,0
KGENUSDT,5,6.4356032885457,3.8447769077127534,4,1
IPUSDT,8,5.782335454402867,3.4699327425690423,7,1
EDUUSDT,4,-0.8847812733881382,-3.0,3,1
ARPAUSDT,3,2.814303418596917,2.814303418596917,2,1
XNYUSDT,9,0.3203971887559627,-2.230679175194892,8,1
INUSDT,3,5.493346306325882,5.493346306325882,3,0
RSRUSDT,13,2.7780847929929227,5.642681667222218,12,1
POLYXUSDT,8,4.980861335293195,4.980861335293195,8,0
